"uid","cluster","spent","country","gender","device"
"1012411","Control","0","USA","F",""
"1012412","Treatment","0","GBR","M",""
"1012413","Treatment","23.23","GBR","F","A"
"1012414","Treatment","0","USA","M",""
"1012415","Treatment","0","USA","F",""
"1012416","Control","0","DEU","",""
"1012417","Control","0","MEX","",""
"1012418","Control","0","USA","",""
"1012419","Treatment","0","USA","M",""
"1012420","Control","0","USA","",""
"1012421","Treatment","0","BRA","M",""
"1012423","Control","0","BRA","F",""
"1012424","Control","0","BRA","M",""
"1012425","Control","0","USA","M",""
"1012426","Control","0","USA","F",""
"1012427","Treatment","0","ESP","M",""
"1012428","Treatment","0","MEX","M",""
"1012429","Treatment","0","USA","",""
"1012430","Control","0","BRA","F",""
"1012431","Treatment","0","USA","O",""
"1012432","Treatment","0","MEX","F",""
"1012433","Control","0","USA","",""
"1012434","Control","0","USA","",""
"1012435","Treatment","0","USA","M",""
"1012436","Control","0","BRA","M",""
"1012438","Control","0","USA","M",""
"1012439","Control","0","DEU","M",""
"1012440","Control","0","USA","O",""
"1012441","Control","0","BRA","F",""
"1012442","Control","0","BRA","M",""
"1012443","Treatment","0","GBR","F",""
"1012444","Control","0","USA","F",""
"1012445","Treatment","0","MEX","",""
"1012446","Control","0","BRA","M",""
"1012448","Treatment","0","CAN","M",""
"1012449","Treatment","18.73","USA","M","I"
"1012450","Treatment","0","MEX","F",""
"1012451","Control","0","USA","F",""
"1012452","Control","0","MEX","F",""
"1012453","Control","0","GBR","F",""
"1012454","Control","0","USA","M",""
"1012455","Treatment","0","MEX","M",""
"1012456","Control","0","USA","O",""
"1012457","Treatment","0","USA","F",""
"1012458","Treatment","0","GBR","F",""
"1012459","Control","0","DEU","F",""
"1012460","Treatment","0","USA","M",""
"1012461","Treatment","0","FRA","F",""
"1012463","Treatment","63.83","USA","M","A"
"1012464","Control","0","MEX","M",""
"1012465","Control","0","AUS","F",""
"1012466","Control","0","USA","",""
"1012467","Control","0","FRA","F",""
"1012468","Control","0","AUS","F",""
"1012469","Control","0","USA","O",""
"1012470","Control","0","USA","F",""
"1012471","Treatment","0","MEX","F",""
"1012472","Control","0","BRA","M",""
"1012473","Treatment","0","MEX","F",""
"1012474","Treatment","0","MEX","M",""
"1012475","Treatment","0","USA","F",""
"1012476","Treatment","0","MEX","F",""
"1012477","Control","0","USA","F",""
"1012478","Treatment","0","USA","",""
"1012479","Treatment","0","GBR","",""
"1012480","Control","0","AUS","F",""
"1012481","Treatment","0","BRA","",""
"1012482","Control","0","USA","F",""
"1012483","Control","0","USA","M",""
"1012484","Treatment","0","DEU","",""
"1012485","Control","0","TUR","",""
"1012486","Treatment","0","TUR","F",""
"1012488","Control","0","TUR","M",""
"1012489","Treatment","0","CAN","M",""
"1012490","Treatment","0","TUR","F",""
"1012491","Treatment","0","USA","F",""
"1012492","Control","0","FRA","O",""
"1012493","Control","0","CAN","M",""
"1012494","Treatment","0","USA","F",""
"1012495","Treatment","0","USA","F",""
"1012496","Treatment","0","USA","M",""
"1012497","Control","0","BRA","M",""
"1012498","Treatment","0","ESP","M",""
"1012499","Control","0","USA","M",""
"1012500","Treatment","0","USA","F",""
"1012501","Control","26.84","GBR","O","A"
"1012502","Control","0","BRA","M",""
"1012503","Control","0","MEX","M",""
"1012504","Treatment","0","TUR","F",""
"1012505","Treatment","0","USA","F",""
"1012506","Treatment","0","MEX","F",""
"1012507","Treatment","0","BRA","F",""
"1012508","Treatment","0","USA","M",""
"1012509","Treatment","0","MEX","",""
"1012510","Treatment","0","BRA","M",""
"1012511","Treatment","0","USA","M",""
"1012512","Control","0","USA","O",""
"1012513","Treatment","0","BRA","M",""
"1012514","Treatment","0","BRA","F",""
"1012515","Treatment","0","USA","F",""
"1012516","Control","0","USA","F",""
"1012517","Control","0","USA","M",""
"1012518","Treatment","0","GBR","M",""
"1012519","Control","0","MEX","F",""
"1012520","Control","0","ESP","M",""
"1012521","Treatment","0","USA","F",""
"1012522","Control","0","TUR","M",""
"1012523","Control","0","GBR","",""
"1012524","Treatment","0","USA","F",""
"1012525","Control","0","FRA","F",""
"1012526","Treatment","0","GBR","M",""
"1012527","Control","38.39","TUR","","I"
"1012528","Treatment","0","BRA","F",""
"1012529","Control","0","USA","M",""
"1012530","Treatment","0","MEX","F",""
"1012531","Treatment","0","FRA","O",""
"1012532","Control","0","USA","",""
"1012533","Treatment","0","TUR","F",""
"1012534","Treatment","0","BRA","",""
"1012535","Control","0","GBR","M",""
"1012536","Control","0","FRA","F",""
"1012537","Treatment","0","TUR","M",""
"1012538","Treatment","0","BRA","O",""
"1012539","Control","0","USA","F",""
"1012540","Control","0","AUS","M",""
"1012541","Treatment","0","USA","F",""
"1012542","Treatment","0","USA","F",""
"1012543","Control","0","USA","M",""
"1012544","Control","0","GBR","F",""
"1012545","Treatment","0","GBR","F",""
"1012546","Treatment","0","USA","F",""
"1012547","Control","0","DEU","F",""
"1012548","Control","0","USA","F",""
"1012549","Control","0","BRA","F",""
"1012550","Control","0","BRA","M",""
"1012551","Control","0","FRA","M",""
"1012552","Treatment","0","USA","F",""
"1012553","Treatment","0","GBR","F",""
"1012554","Treatment","0","TUR","F",""
"1012555","Treatment","0","BRA","F",""
"1012556","Control","0","USA","F",""
"1012557","Control","0","DEU","F",""
"1012558","Control","0","TUR","M",""
"1012559","Treatment","0","BRA","",""
"1012560","Control","0","USA","M",""
"1012561","Control","0","DEU","M",""
"1012562","Treatment","0","MEX","M",""
"1012563","Treatment","0","USA","F",""
"1012564","Control","0","USA","",""
"1012565","Control","0","USA","",""
"1012566","Treatment","0","","",""
"1012567","Control","148.6","BRA","M","A"
"1012568","Treatment","0","GBR","",""
"1012569","Control","0","AUS","F",""
"1012570","Control","0","USA","F",""
"1012571","Treatment","0","BRA","M",""
"1012572","Treatment","0","AUS","F",""
"1012573","Treatment","0","USA","M",""
"1012574","Control","0","MEX","O",""
"1012575","Treatment","0","BRA","",""
"1012576","Control","0","BRA","F",""
"1012577","Treatment","0","USA","",""
"1012578","Control","0","TUR","M",""
"1012579","Control","0","BRA","M",""
"1012580","Control","0","DEU","F",""
"1012581","Control","0","TUR","M",""
"1012582","Control","0","USA","F",""
"1012583","Control","0","DEU","F",""
"1012584","Control","0","MEX","M",""
"1012585","Control","0","USA","F",""
"1012586","Control","0","USA","F",""
"1012587","Control","0","ESP","F",""
"1012588","Control","0","USA","M",""
"1012589","Control","0","ESP","M",""
"1012590","Control","0","USA","F",""
"1012591","Treatment","0","DEU","F",""
"1012592","Control","0","GBR","F",""
"1012593","Control","0","GBR","F",""
"1012594","Control","147.18","USA","","I"
"1012595","Control","0","GBR","F",""
"1012596","Treatment","0","USA","F",""
"1012597","Treatment","0","DEU","M",""
"1012598","Control","0","AUS","M",""
"1012600","Treatment","0","DEU","F",""
"1012601","Treatment","0","BRA","F",""
"1012603","Treatment","0","CAN","M",""
"1012604","Treatment","0","BRA","",""
"1012605","Control","0","USA","F",""
"1012606","Control","0","BRA","O",""
"1012607","Treatment","12.15","USA","F","A"
"1012608","Control","0","MEX","F",""
"1012609","Control","0","FRA","",""
"1012610","Treatment","0","MEX","M",""
"1012611","Control","0","BRA","M",""
"1012612","Control","0","MEX","M",""
"1012613","Control","0","TUR","M",""
"1012614","Treatment","0","FRA","F",""
"1012615","Control","0","USA","M",""
"1012616","Control","0","","F",""
"1012617","Treatment","0","FRA","F",""
"1012618","Control","0","USA","M",""
"1012619","Treatment","0","ESP","F",""
"1012620","Control","0","TUR","M",""
"1012621","Control","0","DEU","M",""
"1012622","Treatment","0","FRA","F",""
"1012623","Control","0","GBR","F",""
"1012624","Treatment","0","MEX","F",""
"1012625","Treatment","0","BRA","M",""
"1012626","Treatment","0","MEX","F",""
"1012627","Treatment","32.61","CAN","","A"
"1012628","Control","0","USA","M",""
"1012629","Treatment","0","GBR","F",""
"1012630","Control","0","MEX","M",""
"1012631","Control","0","FRA","F",""
"1012632","Treatment","0","DEU","F",""
"1012633","Control","0","DEU","M",""
"1012634","Control","0","DEU","M",""
"1012635","Control","0","DEU","M",""
"1012636","Control","0","TUR","M",""
"1012637","Treatment","0","BRA","F",""
"1012638","Control","0","USA","M",""
"1012639","Treatment","0","USA","M",""
"1012640","Control","0","USA","F",""
"1012641","Treatment","0","DEU","M",""
"1012642","Treatment","0","USA","M",""
"1012643","Control","0","USA","M",""
"1012644","Treatment","0","AUS","F",""
"1012645","Treatment","0","BRA","M",""
"1012646","Treatment","0","FRA","M",""
"1012647","Treatment","0","MEX","",""
"1012648","Control","0","USA","M",""
"1012649","Control","0","BRA","O",""
"1012650","Control","0","BRA","F",""
"1012651","Treatment","0","FRA","M",""
"1012652","Control","0","USA","F",""
"1012653","Treatment","0","CAN","M",""
"1012654","Control","0","USA","F",""
"1012655","Treatment","39.75","MEX","F","A"
"1012656","Treatment","0","DEU","",""
"1012657","Control","0","MEX","M",""
"1012658","Treatment","0","BRA","M",""
"1012659","Treatment","0","USA","F",""
"1012660","Control","0","MEX","",""
"1012661","Treatment","0","CAN","M",""
"1012662","Treatment","95.02","BRA","F","I"
"1012663","Treatment","0","FRA","O",""
"1012664","Treatment","0","USA","F",""
"1012665","Control","0","USA","M",""
"1012666","Treatment","0","BRA","M",""
"1012667","Treatment","0","ESP","F",""
"1012668","Treatment","0","USA","F",""
"1012669","Control","0","BRA","M",""
"1012670","Control","0","GBR","M",""
"1012671","Treatment","0","USA","F",""
"1012672","Treatment","0","TUR","F",""
"1012673","Control","0","ESP","F",""
"1012674","Control","0","USA","",""
"1012675","Control","0","DEU","",""
"1012676","Treatment","0","ESP","F",""
"1012677","Treatment","0","CAN","M",""
"1012678","Treatment","0","USA","F",""
"1012679","Control","0","TUR","M",""
"1012680","Treatment","0","TUR","F",""
"1012681","Treatment","0","BRA","F",""
"1012682","Control","0","ESP","F",""
"1012683","Treatment","0","TUR","M",""
"1012684","Control","0","USA","F",""
"1012685","Control","0","BRA","",""
"1012686","Control","0","TUR","M",""
"1012687","Treatment","0","USA","M",""
"1012688","Treatment","0","BRA","M",""
"1012689","Treatment","42.31","BRA","F","A"
"1012690","Control","0","USA","F",""
"1012691","Control","0","FRA","",""
"1012692","Control","0","BRA","",""
"1012693","Control","130.81","MEX","F","I"
"1012694","Treatment","0","BRA","",""
"1012695","Treatment","0","BRA","M",""
"1012696","Treatment","0","USA","F",""
"1012697","Treatment","0","AUS","F",""
"1012698","Treatment","0","DEU","",""
"1012699","Treatment","0","USA","F",""
"1012700","Treatment","0","USA","M",""
"1012701","Treatment","0","TUR","M",""
"1012702","Control","0","BRA","F",""
"1012703","Control","0","FRA","M",""
"1012704","Control","0","CAN","M",""
"1012705","Treatment","0","TUR","F",""
"1012706","Control","0","TUR","",""
"1012707","Control","0","CAN","M",""
"1012708","Treatment","0","USA","F",""
"1012709","Control","0","BRA","M",""
"1012710","Treatment","0","USA","M",""
"1012711","Control","0","USA","F",""
"1012712","Control","0","DEU","F",""
"1012713","Treatment","0","TUR","F",""
"1012714","Control","0","TUR","",""
"1012715","Control","0","USA","F",""
"1012716","Treatment","0","USA","",""
"1012717","Treatment","0","BRA","F",""
"1012718","Treatment","0","BRA","F",""
"1012719","Control","0","FRA","M",""
"1012720","Control","0","BRA","M",""
"1012721","Control","0","USA","F",""
"1012722","Control","0","USA","F",""
"1012723","Treatment","62.353876329714236","FRA","F","I"
"1012724","Control","0","GBR","F",""
"1012725","Treatment","0","USA","F",""
"1012726","Control","0","TUR","F",""
"1012727","Control","0","BRA","F",""
"1012728","Treatment","0","BRA","F",""
"1012729","Treatment","0","ESP","M",""
"1012730","Treatment","0","DEU","F",""
"1012731","Treatment","0","DEU","F",""
"1012732","Treatment","0","BRA","",""
"1012733","Control","0","AUS","M",""
"1012734","Treatment","0","USA","",""
"1012735","Control","0","USA","",""
"1012736","Treatment","0","DEU","M",""
"1012737","Treatment","0","FRA","M",""
"1012738","Treatment","0","TUR","F",""
"1012739","Control","0","FRA","M",""
"1012740","Control","0","DEU","M",""
"1012741","Control","0","USA","M",""
"1012742","Treatment","0","BRA","M",""
"1012743","Control","0","MEX","",""
"1012744","Control","0","MEX","",""
"1012745","Control","0","BRA","M",""
"1012746","Treatment","0","MEX","F",""
"1012747","Control","0","MEX","O",""
"1012748","Treatment","0","ESP","F",""
"1012749","Treatment","0","CAN","M",""
"1012750","Treatment","0","ESP","M",""
"1012751","Treatment","0","USA","F",""
"1012752","Treatment","0","FRA","M",""
"1012753","Treatment","0","GBR","",""
"1012754","Treatment","0","USA","F",""
"1012755","Treatment","0","USA","F",""
"1012756","Control","0","CAN","",""
"1012757","Control","0","FRA","",""
"1012758","Treatment","0","USA","F",""
"1012759","Control","0","MEX","M",""
"1012760","Control","0","AUS","M",""
"1012761","Treatment","0","USA","M",""
"1012762","Control","0","USA","F",""
"1012763","Treatment","0","USA","F",""
"1012764","Treatment","0","DEU","F",""
"1012765","Control","0","BRA","F",""
"1012766","Treatment","0","GBR","M",""
"1012767","Treatment","0","FRA","M",""
"1012768","Control","0","BRA","M",""
"1012769","Control","0","ESP","M",""
"1012770","Control","0","USA","M",""
"1012771","Control","0","MEX","F",""
"1012772","Control","0","GBR","M",""
"1012773","Control","0","","",""
"1012774","Treatment","0","USA","F",""
"1012775","Control","0","BRA","M",""
"1012776","Control","0","MEX","F",""
"1012778","Treatment","0","TUR","M",""
"1012780","Control","0","BRA","F",""
"1012781","Control","35.87","USA","F","A"
"1012782","Treatment","0","USA","",""
"1012783","Control","0","USA","M",""
"1012784","Control","0","MEX","F",""
"1012785","Control","0","USA","M",""
"1012786","Control","0","BRA","F",""
"1012787","Control","0","BRA","",""
"1012788","Control","13.36","ESP","F","A"
"1012789","Control","0","USA","F",""
"1012790","Treatment","0","DEU","",""
"1012791","Treatment","0","BRA","",""
"1012792","Control","0","DEU","M",""
"1012793","Treatment","0","DEU","M",""
"1012794","Control","0","USA","F",""
"1012795","Treatment","0","GBR","M",""
"1012796","Control","0","MEX","F",""
"1012797","Treatment","0","GBR","F",""
"1012798","Control","0","TUR","M",""
"1012799","Treatment","0","BRA","M",""
"1012800","Treatment","0","USA","F",""
"1012801","Control","0","TUR","F",""
"1012802","Control","0","GBR","F",""
"1012803","Control","0","USA","",""
"1012804","Treatment","0","USA","M",""
"1012805","Treatment","0","ESP","",""
"1012806","Treatment","0","USA","F",""
"1012807","Control","0","FRA","F",""
"1012808","Treatment","0","MEX","",""
"1012809","Treatment","47.82","DEU","M","I"
"1012810","Control","0","DEU","M",""
"1012811","Control","0","DEU","O",""
"1012812","Treatment","0","BRA","O",""
"1012813","Treatment","0","BRA","M",""
"1012814","Treatment","0","MEX","M",""
"1012815","Treatment","0","MEX","F",""
"1012816","Treatment","0","USA","M",""
"1012817","Control","0","TUR","M",""
"1012818","Control","0","BRA","F",""
"1012819","Control","0","DEU","F",""
"1012820","Control","0","GBR","M",""
"1012821","Treatment","0","BRA","F",""
"1012822","Treatment","86.88","USA","F","I"
"1012823","Treatment","0","BRA","M",""
"1012824","Control","0","BRA","M",""
"1012825","Control","0","CAN","",""
"1012826","Treatment","0","","M",""
"1012828","Treatment","18.59","BRA","F","I"
"1012829","Treatment","0","MEX","M",""
"1012830","Treatment","0","USA","F",""
"1012831","Control","0","MEX","F",""
"1012832","Treatment","0","CAN","F",""
"1012833","Control","0","ESP","F",""
"1012834","Control","0","GBR","M",""
"1012835","Treatment","0","FRA","F",""
"1012837","Treatment","0","USA","O",""
"1012838","Treatment","0","MEX","",""
"1012839","Treatment","0","USA","F",""
"1012840","Treatment","0","USA","M",""
"1012841","Treatment","0","USA","M",""
"1012842","Treatment","0","BRA","M",""
"1012843","Treatment","0","USA","",""
"1012844","Treatment","0","USA","F",""
"1012845","Treatment","44.74","USA","F","I"
"1012846","Control","0","MEX","F",""
"1012847","Treatment","0","ESP","F",""
"1012848","Treatment","0","USA","F",""
"1012849","Treatment","0","USA","M",""
"1012850","Control","0","USA","M",""
"1012851","Treatment","0","BRA","M",""
"1012852","Control","0","FRA","M",""
"1012853","Control","0","GBR","F",""
"1012854","Treatment","0","DEU","F",""
"1012855","Treatment","0","BRA","F",""
"1012856","Control","0","MEX","F",""
"1012857","Treatment","0","DEU","",""
"1012858","Control","0","USA","M",""
"1012859","Treatment","0","USA","F",""
"1012860","Treatment","0","MEX","",""
"1012861","Treatment","0","DEU","M",""
"1012862","Control","0","USA","F",""
"1012863","Control","0","BRA","M",""
"1012864","Treatment","0","TUR","M",""
"1012865","Control","0","FRA","",""
"1012866","Treatment","0","MEX","F",""
"1012867","Treatment","0","TUR","M",""
"1012868","Treatment","0","USA","F",""
"1012869","Control","0","FRA","F",""
"1012870","Control","0","FRA","M",""
"1012871","Treatment","0","USA","M",""
"1012872","Treatment","0","BRA","M",""
"1012873","Treatment","0","BRA","F",""
"1012874","Control","0","BRA","M",""
"1012875","Control","0","CAN","",""
"1012876","Control","0","BRA","F",""
"1012877","Control","0","AUS","F",""
"1012878","Treatment","0","BRA","O",""
"1012879","Treatment","0","BRA","M",""
"1012880","Treatment","29.57","USA","F","A"
"1012881","Treatment","0","USA","F",""
"1012883","Control","0","BRA","M",""
"1012884","Treatment","0","DEU","M",""
"1012885","Treatment","0","MEX","M",""
"1012886","Control","0","DEU","M",""
"1012887","Treatment","0","USA","F",""
"1012888","Treatment","0","BRA","M",""
"1012889","Control","0","MEX","M",""
"1012891","Treatment","0","BRA","M",""
"1012892","Control","0","USA","M",""
"1012893","Treatment","0","FRA","F",""
"1012894","Control","0","ESP","M",""
"1012895","Treatment","0","AUS","M",""
"1012896","Control","17.63","USA","F","A"
"1012897","Treatment","0","AUS","M",""
"1012898","Control","0","FRA","M",""
"1012899","Control","0","MEX","M",""
"1012900","Control","0","ESP","F",""
"1012901","Control","0","ESP","M",""
"1012902","Treatment","0","TUR","M",""
"1012903","Control","0","TUR","F",""
"1012904","Control","0","USA","F",""
"1012905","Treatment","0","FRA","M",""
"1012906","Control","0","AUS","M",""
"1012907","Control","0","USA","F",""
"1012908","Treatment","0","USA","F",""
"1012909","Treatment","0","MEX","M",""
"1012910","Treatment","0","BRA","",""
"1012911","Treatment","0","DEU","F",""
"1012912","Treatment","0","BRA","F",""
"1012913","Treatment","0","MEX","F",""
"1012914","Treatment","0","FRA","M",""
"1012915","Treatment","0","USA","",""
"1012916","Control","0","GBR","F",""
"1012917","Treatment","0","CAN","M",""
"1012918","Control","0","TUR","M",""
"1012919","Control","0","BRA","F",""
"1012920","Control","0","USA","F",""
"1012921","Treatment","0","GBR","F",""
"1012922","Treatment","0","USA","M",""
"1012923","Control","0","AUS","F",""
"1012924","Treatment","0","CAN","F",""
"1012925","Treatment","0","USA","M",""
"1012926","Control","0","USA","O",""
"1012927","Treatment","0","FRA","F",""
"1012928","Treatment","0","AUS","M",""
"1012929","Control","0","BRA","F",""
"1012930","Treatment","0","BRA","F",""
"1012931","Treatment","0","USA","F",""
"1012932","Control","0","USA","M",""
"1012933","Treatment","0","MEX","",""
"1012934","Treatment","0","TUR","F",""
"1012935","Control","0","USA","F",""
"1012936","Treatment","0","BRA","F",""
"1012937","Control","0","BRA","F",""
"1012938","Treatment","0","FRA","F",""
"1012939","Control","0","FRA","",""
"1012940","Control","0","ESP","",""
"1012941","Treatment","0","USA","M",""
"1012942","Control","0","USA","",""
"1012943","Treatment","0","GBR","M",""
"1012944","Control","0","MEX","M",""
"1012945","Control","0","USA","M",""
"1012946","Control","0","CAN","M",""
"1012947","Treatment","0","USA","F",""
"1012948","Control","0","MEX","F",""
"1012949","Control","0","USA","M",""
"1012950","Control","0","DEU","M",""
"1012951","Treatment","0","TUR","",""
"1012952","Control","0","USA","F",""
"1012953","Control","0","FRA","F",""
"1012954","Treatment","0","BRA","M",""
"1012955","Control","0","USA","M",""
"1012956","Control","0","TUR","M",""
"1012957","Control","0","BRA","M",""
"1012958","Treatment","0","DEU","F",""
"1012959","Treatment","0","DEU","F",""
"1012960","Control","0","USA","F",""
"1012961","Control","0","USA","M",""
"1012962","Treatment","0","MEX","F",""
"1012963","Treatment","0","GBR","M",""
"1012964","Control","0","USA","",""
"1012965","Treatment","0","GBR","F",""
"1012966","Treatment","0","USA","M",""
"1012967","Treatment","0","FRA","F",""
"1012968","Control","0","MEX","M",""
"1012969","Treatment","0","DEU","M",""
"1012970","Control","0","BRA","",""
"1012971","Control","0","MEX","M",""
"1012972","Control","0","DEU","M",""
"1012973","Treatment","0","TUR","",""
"1012974","Control","0","USA","F",""
"1012975","Treatment","0","USA","F",""
"1012976","Control","0","BRA","F",""
"1012977","Treatment","0","USA","F",""
"1012978","Treatment","0","BRA","F",""
"1012979","Treatment","0","MEX","F",""
"1012980","Control","0","FRA","M",""
"1012981","Treatment","0","DEU","",""
"1012982","Treatment","0","BRA","F",""
"1012983","Control","0","BRA","M",""
"1012984","Treatment","0","BRA","M",""
"1012985","Control","0","BRA","M",""
"1012986","Treatment","0","USA","F",""
"1012987","Treatment","0","BRA","M",""
"1012988","Control","0","DEU","M",""
"1012989","Treatment","0","USA","",""
"1012990","Control","0","USA","F",""
"1012991","Control","0","USA","F",""
"1012992","Control","0","DEU","M",""
"1012993","Treatment","0","BRA","M",""
"1012994","Treatment","0","USA","F",""
"1012995","Treatment","0","USA","M",""
"1012996","Treatment","0","USA","M",""
"1012997","Treatment","0","BRA","F",""
"1012998","Control","0","USA","F",""
"1012999","Treatment","0","BRA","M",""
"1013000","Control","0","GBR","",""
"1013001","Treatment","52.2","ESP","F","I"
"1013002","Treatment","0","BRA","",""
"1013003","Treatment","0","USA","M",""
"1013004","Treatment","0","USA","M",""
"1013005","Control","0","USA","",""
"1013006","Control","0","ESP","M",""
"1013007","Control","0","DEU","M",""
"1013008","Treatment","0","USA","F",""
"1013009","Control","0","BRA","F",""
"1013010","Treatment","0","MEX","M",""
"1013011","Control","0","GBR","",""
"1013012","Control","0","USA","F",""
"1013013","Control","0","USA","",""
"1013014","Control","0","USA","F",""
"1013015","Control","0","USA","M",""
"1013016","Control","0","USA","M",""
"1013017","Treatment","0","MEX","F",""
"1013018","Control","0","DEU","M",""
"1013019","Control","0","MEX","F",""
"1013020","Control","0","FRA","F",""
"1013021","Treatment","0","USA","F",""
"1013022","Control","0","MEX","F",""
"1013023","Treatment","0","USA","M",""
"1013024","Control","0","DEU","F",""
"1013025","Treatment","0","GBR","M",""
"1013026","Control","0","AUS","M",""
"1013027","Control","0","MEX","",""
"1013028","Control","0","BRA","",""
"1013029","Treatment","0","BRA","M",""
"1013030","Control","0","USA","M",""
"1013031","Control","0","DEU","F",""
"1013032","Control","0","MEX","F",""
"1013033","Control","0","MEX","M",""
"1013034","Treatment","0","DEU","F",""
"1013035","Treatment","0","MEX","M",""
"1013036","Control","0","DEU","F",""
"1013037","Treatment","0","USA","M",""
"1013038","Treatment","0","FRA","M",""
"1013039","Treatment","0","BRA","M",""
"1013040","Control","0","","F",""
"1013041","Treatment","0","USA","F",""
"1013042","Treatment","0","MEX","F",""
"1013043","Control","0","USA","F",""
"1013044","Control","0","FRA","M",""
"1013045","Treatment","0","USA","",""
"1013046","Control","0","USA","M",""
"1013047","Control","0","TUR","M",""
"1013048","Control","0","TUR","",""
"1013049","Control","0","TUR","F",""
"1013050","Treatment","0","GBR","M",""
"1013051","Control","0","USA","F",""
"1013052","Control","0","FRA","",""
"1013053","Treatment","0","USA","M",""
"1013054","Control","0","USA","M",""
"1013055","Treatment","0","MEX","F",""
"1013056","Treatment","0","BRA","M",""
"1013057","Treatment","0","GBR","",""
"1013058","Control","0","USA","F",""
"1013059","Control","0","TUR","M",""
"1013060","Control","0","MEX","M",""
"1013061","Control","0","","",""
"1013062","Control","0","FRA","M",""
"1013063","Control","0","BRA","M",""
"1013064","Treatment","0","USA","F",""
"1013065","Treatment","0","BRA","F",""
"1013066","Control","0","BRA","F",""
"1013067","Control","0","BRA","F",""
"1013068","Control","0","USA","",""
"1013069","Control","0","","F",""
"1013070","Control","0","USA","M",""
"1013071","Control","0","FRA","M",""
"1013072","Control","0","BRA","F",""
"1013073","Treatment","0","USA","",""
"1013074","Treatment","0","USA","M",""
"1013075","Control","0","MEX","F",""
"1013076","Control","0","USA","M",""
"1013077","Treatment","0","USA","F",""
"1013078","Control","0","USA","F",""
"1013079","Control","0","BRA","F",""
"1013080","Control","0","FRA","F",""
"1013081","Treatment","0","BRA","M",""
"1013083","Control","0","USA","M",""
"1013084","Treatment","102.98","TUR","","I"
"1013085","Treatment","0","BRA","M",""
"1013086","Control","0","BRA","M",""
"1013087","Control","0","MEX","F",""
"1013088","Treatment","0","USA","F",""
"1013089","Treatment","0","MEX","F",""
"1013090","Treatment","0","BRA","F",""
"1013091","Control","0","BRA","M",""
"1013092","Treatment","0","USA","F",""
"1013093","Control","0","ESP","M",""
"1013094","Treatment","0","BRA","F",""
"1013095","Control","0","TUR","M",""
"1013097","Treatment","0","USA","M",""
"1013098","Treatment","60.18","USA","F","A"
"1013099","Treatment","0","FRA","F",""
"1013100","Treatment","0","MEX","",""
"1013101","Treatment","0","FRA","F",""
"1013102","Treatment","0","MEX","M",""
"1013103","Control","0","USA","F",""
"1013104","Treatment","0","BRA","F",""
"1013105","Control","0","MEX","F",""
"1013106","Control","0","USA","M",""
"1013107","Control","0","FRA","M",""
"1013108","Control","113.85","CAN","M","I"
"1013109","Control","0","DEU","M",""
"1013110","Treatment","145.11","USA","","I"
"1013111","Treatment","0","BRA","F",""
"1013112","Treatment","0","DEU","M",""
"1013113","Control","0","GBR","M",""
"1013114","Treatment","0","USA","F",""
"1013115","Control","0","TUR","F",""
"1013116","Treatment","0","BRA","",""
"1013117","Treatment","0","CAN","M",""
"1013118","Control","0","TUR","F",""
"1013119","Control","0","TUR","F",""
"1013120","Control","0","USA","F",""
"1013121","Treatment","0","FRA","F",""
"1013122","Control","0","ESP","",""
"1013123","Control","0","","F",""
"1013124","Treatment","20.58","USA","","I"
"1013125","Treatment","0","BRA","M",""
"1013126","Control","0","USA","M",""
"1013127","Treatment","0","ESP","M",""
"1013128","Treatment","0","USA","M",""
"1013129","Control","0","GBR","F",""
"1013130","Control","0","FRA","F",""
"1013131","Control","0","BRA","M",""
"1013132","Treatment","0","USA","F",""
"1013133","Treatment","0","GBR","M",""
"1013134","Treatment","0","GBR","O",""
"1013135","Treatment","0","BRA","M",""
"1013136","Treatment","0","GBR","F",""
"1013137","Treatment","0","GBR","F",""
"1013138","Control","43.02","USA","F","I"
"1013139","Control","0","DEU","F",""
"1013140","Treatment","0","BRA","O",""
"1013141","Control","112.67","USA","M","A"
"1013142","Control","0","MEX","F",""
"1013143","Treatment","35.78","CAN","O","A"
"1013144","Treatment","0","USA","M",""
"1013145","Treatment","0","USA","F",""
"1013146","Treatment","0","FRA","",""
"1013148","Treatment","0","BRA","M",""
"1013149","Treatment","0","MEX","M",""
"1013150","Treatment","0","USA","M",""
"1013151","Control","0","AUS","F",""
"1013152","Treatment","0","GBR","F",""
"1013153","Control","0","DEU","",""
"1013154","Treatment","0","FRA","F",""
"1013155","Treatment","0","FRA","F",""
"1013156","Treatment","48.72","USA","F","A"
"1013157","Treatment","0","USA","M",""
"1013158","Control","0","BRA","",""
"1013159","Treatment","0","USA","F",""
"1013160","Control","0","TUR","F",""
"1013161","Treatment","0","DEU","",""
"1013162","Treatment","0","USA","",""
"1013163","Treatment","0","MEX","F",""
"1013164","Control","0","ESP","F",""
"1013165","Treatment","0","DEU","F",""
"1013166","Treatment","0","ESP","F",""
"1013167","Control","0","USA","F",""
"1013168","Treatment","0","USA","M",""
"1013169","Control","0","GBR","F",""
"1013170","Treatment","0","USA","F",""
"1013171","Treatment","0","MEX","M",""
"1013172","Treatment","0","MEX","M",""
"1013173","Treatment","0","TUR","M",""
"1013174","Control","0","USA","F",""
"1013175","Control","0","USA","F",""
